id,kode,path,nama,status
1709021,"F170902-add","/F170902/add","PBB Restitusi Kompensasi Add",1
1709022,"F170902-edt","/F170902/{id}/edt","PBB Restitusi Kompensasi Edit",1
1709023,"F170902-del","/F170902/{id}/del","PBB Restitusi Kompensasi Delete",1
1709024,"F170902-act","/F170902/{id}/act","PBB Restitusi Kompensasi Action",1
1709025,"F170902-csv","/F170902/csv","PBB Restitusi Kompensasi CSV",1
1709026,"F170902-post","/F170902/{id}/post","PBB Restitusi Kompensasi Posting",1
1604010,"F160401","/F160401","PBB Catatan Pembayaran",1
1604011,"F160401-add","/F160401/add","PBB Catatan Pembayaran Add",1
1604012,"F160401-edt","/F160401/{id}/edt","PBB Catatan Pembayaran Edit",1
1604013,"F160401-del","/F160401/{id}/del","PBB Catatan Pembayaran Delete",1
1604014,"F160401-act","/F160401/{id}/act","PBB Catatan Pembayaran Action",1
1604015,"F160401-csv","/F160401/csv","PBB Catatan Pembayaran CSV",1
